publish_year,no_of_authors_with_one_book
1953,623
1957,741
1987,1297
1956,664
1958,791
1972,1093
1988,1335
1977,763
1971,1139
1984,1121
1982,990
2005,1385
2000,1185
1965,1350
1962,1131
1954,667
1981,896
1978,802
1974,1211
1959,879
2002,1082
2009,210
1995,2705
1964,1270
2006,1471
1976,967
1967,1324
1968,1165
2004,1345
1989,1575
1992,2024
1961,1075
1951,676
1966,1299
2008,4117
1955,612
1999,1553
1963,1183
1994,2457
1997,2599
1973,1223
2007,2503
1996,2217
1983,1062
1969,1288
1980,943
1960,965
1986,1186
1952,633
1985,1102
1979,863
1998,2474
1993,2108
2001,959
2010,4
1990,1867
1991,1741
2003,1452
1975,1055
1970,1230
9999,3
