publish_year,publish_month,no_of_authors,no_of_books_published
1951,01,676,676
1952,01,633,633
1953,01,622,622
1953,10,1,1
1954,01,666,666
1954,06,1,1
1955,01,611,611
1955,06,1,1
1956,01,664,664
1957,01,740,740
1957,09,1,1
1958,01,789,789
1958,06,2,1
1959,01,879,879
1960,01,963,963
1960,06,2,2
1961,01,1074,1074
1961,10,1,1
1962,01,1129,1129
1962,12,2,1
1963,01,1182,1182
1963,07,1,1
1964,01,1268,1268
1964,05,1,1
1964,06,1,1
1965,01,1347,1347
1965,06,3,1
1966,01,1298,1298
1966,11,1,1
1967,01,1323,1323
1967,06,1,1
1968,01,1159,1159
1968,05,1,1
1968,06,4,3
1968,07,1,1
1969,01,1286,1287
1969,06,2,1
1970,01,1227,1228
1970,06,3,2
